"CS_type_duo","outcome2","frac","Families"
"AA","- dominance",6.81818181818182,"All families"
"AA","+ dominance",4.54545454545455,"All families"
"AA","antagonism",9.09090909090909,"All families"
"AA","no interaction",77.2727272727273,"All families"
"AA","synergy",2.27272727272727,"All families"
"SA","- dominance",31.5789473684211,"All families"
"SA","+ dominance",11.8421052631579,"All families"
"SA","antagonism",3.94736842105263,"All families"
"SA","no interaction",52.6315789473684,"All families"
"SS","antagonism",16,"All families"
"SS","no interaction",84,"All families"
