"Genus","CS_type_duo","outcome2","frac","gen.ord"
"other","AA","- dominance",0.900900900900901,"other"
"other","AA","+ dominance",1.8018018018018,"other"
"other","AA","antagonism",3.6036036036036,"other"
"other","AA","no interaction",84.6846846846847,"other"
"other","AA","synergy",9.00900900900901,"other"
"other","SA","- dominance",7.31707317073171,"other"
"other","SA","+ dominance",0.609756097560976,"other"
"other","SA","antagonism",2.4390243902439,"other"
"other","SA","no interaction",88.4146341463415,"other"
"other","SA","synergy",1.21951219512195,"other"
"other","SS","no interaction",100,"other"
"Acinetobacter","AA","antagonism",12.5,"Acinetobacter"
"Acinetobacter","AA","no interaction",75,"Acinetobacter"
"Acinetobacter","AA","synergy",12.5,"Acinetobacter"
"Acinetobacter","SA","- dominance",37.5,"Acinetobacter"
"Acinetobacter","SA","+ dominance",6.25,"Acinetobacter"
"Acinetobacter","SA","no interaction",56.25,"Acinetobacter"
"Acinetobacter","SS","antagonism",14.2857142857143,"Acinetobacter"
"Acinetobacter","SS","no interaction",85.7142857142857,"Acinetobacter"
"Citrobacter","AA","antagonism",12.5,"Citrobacter"
"Citrobacter","AA","no interaction",87.5,"Citrobacter"
"Citrobacter","SA","antagonism",6.66666666666667,"Citrobacter"
"Citrobacter","SA","no interaction",80,"Citrobacter"
"Citrobacter","SA","synergy",13.3333333333333,"Citrobacter"
"Citrobacter","SS","+ dominance",12.5,"Citrobacter"
"Citrobacter","SS","no interaction",87.5,"Citrobacter"
"Enterobacter","AA","- dominance",25,"Enterobacter"
"Enterobacter","AA","no interaction",75,"Enterobacter"
"Enterobacter","SA","no interaction",42.8571428571429,"Enterobacter"
"Enterobacter","SA","synergy",57.1428571428571,"Enterobacter"
"Enterobacter","SS","- dominance",33.3333333333333,"Enterobacter"
"Enterobacter","SS","no interaction",66.6666666666667,"Enterobacter"
"Enterobacteriaceae.8","AA","- dominance",12.5,"Enterobacteriaceae.8"
"Enterobacteriaceae.8","AA","+ dominance",12.5,"Enterobacteriaceae.8"
"Enterobacteriaceae.8","AA","no interaction",75,"Enterobacteriaceae.8"
"Enterobacteriaceae.8","SA","- dominance",7.14285714285714,"Enterobacteriaceae.8"
"Enterobacteriaceae.8","SA","no interaction",78.5714285714286,"Enterobacteriaceae.8"
"Enterobacteriaceae.8","SA","synergy",14.2857142857143,"Enterobacteriaceae.8"
"Enterobacteriaceae.8","SS","- dominance",12.5,"Enterobacteriaceae.8"
"Enterobacteriaceae.8","SS","no interaction",75,"Enterobacteriaceae.8"
"Enterobacteriaceae.8","SS","synergy",12.5,"Enterobacteriaceae.8"
"Klebsiella","AA","no interaction",100,"Klebsiella"
"Klebsiella","SA","- dominance",6.25,"Klebsiella"
"Klebsiella","SA","no interaction",93.75,"Klebsiella"
"Klebsiella","SS","no interaction",100,"Klebsiella"
"Pectobacterium","AA","no interaction",100,"Pectobacterium"
"Pectobacterium","SA","no interaction",50,"Pectobacterium"
"Pectobacterium","SA","synergy",50,"Pectobacterium"
"Pectobacterium","SS","- dominance",25,"Pectobacterium"
"Pectobacterium","SS","no interaction",75,"Pectobacterium"
"Pseudomonas","AA","- dominance",12.5,"Pseudomonas"
"Pseudomonas","AA","+ dominance",25,"Pseudomonas"
"Pseudomonas","AA","no interaction",62.5,"Pseudomonas"
"Pseudomonas","SA","- dominance",18.75,"Pseudomonas"
"Pseudomonas","SA","+ dominance",6.25,"Pseudomonas"
"Pseudomonas","SA","no interaction",75,"Pseudomonas"
"Pseudomonas","SS","no interaction",87.5,"Pseudomonas"
"Pseudomonas","SS","synergy",12.5,"Pseudomonas"
"Raoultella","AA","antagonism",12.5,"Raoultella"
"Raoultella","AA","no interaction",87.5,"Raoultella"
"Raoultella","SA","antagonism",13.3333333333333,"Raoultella"
"Raoultella","SA","no interaction",73.3333333333333,"Raoultella"
"Raoultella","SA","synergy",13.3333333333333,"Raoultella"
"Raoultella","SS","+ dominance",12.5,"Raoultella"
"Raoultella","SS","no interaction",87.5,"Raoultella"
"Rosenbergiella","AA","- dominance",25,"Rosenbergiella"
"Rosenbergiella","AA","no interaction",75,"Rosenbergiella"
"Rosenbergiella","SA","+ dominance",14.2857142857143,"Rosenbergiella"
"Rosenbergiella","SA","antagonism",14.2857142857143,"Rosenbergiella"
"Rosenbergiella","SA","no interaction",57.1428571428571,"Rosenbergiella"
"Rosenbergiella","SA","synergy",14.2857142857143,"Rosenbergiella"
"Rosenbergiella","SS","antagonism",20,"Rosenbergiella"
"Rosenbergiella","SS","no interaction",80,"Rosenbergiella"
"Shinella","AA","- dominance",37.5,"Shinella"
"Shinella","AA","no interaction",50,"Shinella"
"Shinella","AA","synergy",12.5,"Shinella"
"Shinella","SA","- dominance",40,"Shinella"
"Shinella","SA","no interaction",60,"Shinella"
"Shinella","SS","antagonism",16.6666666666667,"Shinella"
"Shinella","SS","no interaction",83.3333333333333,"Shinella"
